| Name                                     | Version         | License                                       | Author                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | URL                                                                                                                             |
| opentelemetry-sdk                        | 1.25.0          | Apache Software License                       | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-sdk                                              |
| opentelemetry-semantic-conventions       | 0.46b0          | Apache Software License                       | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-semantic-conventions                             |
| pathable                                 | 0.4.4           | Apache Software License                       | Artur Maciag                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | https://github.com/p1c2u/pathable                                                                                               |
| pytest-asyncio                           | 0.24.0          | Apache Software License                       | Tin Tvrtković <tinchester@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | https://github.com/pytest-dev/pytest-asyncio                                                                                    |
| requests                                 | 2.32.5          | Apache Software License                       | Kenneth Reitz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | https://requests.readthedocs.io                                                                                                 |
| sortedcontainers                         | 2.4.0           | Apache Software License                       | Grant Jenks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | http://www.grantjenks.com/docs/sortedcontainers/                                                                                |
| stevedore                                | 5.6.0           | Apache Software License                       | OpenStack <openstack-discuss@lists.openstack.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | https://docs.openstack.org/stevedore                                                                                            |
| types-requests                           | 2.32.0.20241016 | Apache Software License                       | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | https://github.com/python/typeshed                                                                                              |
| packaging                                | 25.0            | Apache Software License; BSD License          | Donald Stufft <donald@stufft.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | https://github.com/pypa/packaging                                                                                               |
| uvloop                                   | 0.22.1          | Apache Software License; MIT License          | Yury Selivanov <yury@magic.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | UNKNOWN                                                                                                                         |
| coverage                                 | 7.13.1          | Apache-2.0                                    | Ned Batchelder and 248 others                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | https://github.com/coveragepy/coveragepy                                                                                        |
| opentelemetry-instrumentation            | 0.46b0          | Apache-2.0                                    | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python-contrib/tree/main/opentelemetry-instrumentation                          |
| opentelemetry-instrumentation-requests   | 0.46b0          | Apache-2.0                                    | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python-contrib/tree/main/instrumentation/opentelemetry-instrumentation-requests |
| opentelemetry-util-http                  | 0.46b0          | Apache-2.0                                    | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python-contrib/tree/main/util/opentelemetry-util-http                           |
| face                                     | 24.0.0          | BSD                                           | Mahmoud Hashemi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://github.com/mahmoud/face                                                                                                 |
| Pygments                                 | 2.19.2          | BSD License                                   | Georg Brandl <georg@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://pygments.org                                                                                                            |
| boltons                                  | 21.0.0          | BSD License                                   | Mahmoud Hashemi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://github.com/mahmoud/boltons                                                                                              |
| colorama                                 | 0.4.6           | BSD License                                   | Jonathan Hartley <tartley@tartley.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | https://github.com/tartley/colorama                                                                                             |
| glom                                     | 22.1.0          | BSD License                                   | Mahmoud Hashemi and Kurt Rose                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | https://github.com/mahmoud/glom                                                                                                 |
| httpx                                    | 0.28.1          | BSD License                                   | Tom Christie <tom@tomchristie.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | https://github.com/encode/httpx                                                                                                 |
| nodeenv                                  | 1.10.0          | BSD License                                   | Eugene Kalinin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | https://github.com/ekalinin/nodeenv                                                                                             |
| openapi-schema-validator                 | 0.6.3           | BSD License                                   | Artur Maciag                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | https://github.com/python-openapi/openapi-schema-validator                                                                      |
| pip-tools                                | 7.5.2           | BSD License                                   | Vincent Driessen <me@nvie.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | https://github.com/jazzband/pip-tools/                                                                                          |
| wrapt                                    | 1.17.3          | BSD License                                   | Graham Dumpleton                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | https://github.com/GrahamDumpleton/wrapt                                                                                        |
| lazy-object-proxy                        | 1.12.0          | BSD-2-Clause                                  | Ionel Cristian Mărieș <contact@ionelmc.ro>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | https://python-lazy-object-proxy.readthedocs.io/en/latest/changelog.html                                                        |
| MarkupSafe                               | 3.0.3           | BSD-3-Clause                                  | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | https://github.com/pallets/markupsafe/                                                                                          |
| click                                    | 8.3.1           | BSD-3-Clause                                  | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | https://github.com/pallets/click/                                                                                               |
| click-option-group                       | 0.5.9           | BSD-3-Clause                                  | Eugene Prilepin <esp.home@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | https://github.com/click-contrib/click-option-group                                                                             |
| httpcore                                 | 1.0.9           | BSD-3-Clause                                  | Tom Christie <tom@tomchristie.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | https://www.encode.io/httpcore/                                                                                                 |
| idna                                     | 3.11            | BSD-3-Clause                                  | Kim Davies <kim+pypi@gumleaf.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | https://github.com/kjd/idna                                                                                                     |
| python-dotenv                            | 1.2.1           | BSD-3-Clause                                  | Saurabh Kumar <me+github@saurabh-kumar.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | https://github.com/theskumar/python-dotenv                                                                                      |
| starlette                                | 0.37.2          | BSD-3-Clause                                  | Tom Christie <tom@tomchristie.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | https://github.com/encode/starlette                                                                                             |
| uvicorn                                  | 0.30.5          | BSD-3-Clause                                  | Tom Christie <tom@tomchristie.com>, Marcelo Trylesinski <marcelotryle@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                  | https://www.uvicorn.org/                                                                                                        |
| websockets                               | 16.0            | BSD-3-Clause                                  | Aymeric Augustin <aymeric.augustin@m4x.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | https://github.com/python-websockets/websockets                                                                                 |
| semgrep                                  | 1.102.0         | GNU Lesser General Public License v2 (LGPLv2) | Semgrep Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | https://github.com/returntocorp/semgrep                                                                                         |
| anyio                                    | 4.12.1          | MIT                                           | Alex Grönholm <alex.gronholm@nextday.fi>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | https://anyio.readthedocs.io/en/stable/versionhistory.html                                                                      |
| attrs                                    | 25.4.0          | MIT                                           | Hynek Schlawack <hs@ox.cx>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | https://www.attrs.org/en/stable/changelog.html                                                                                  |
| bracex                                   | 2.6             | MIT                                           | Isaac Muse <Isaac.Muse@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | https://github.com/facelessuser/bracex                                                                                          |
| build                                    | 1.4.0           | MIT                                           | Filipe Laíns <lains@riseup.net>, Bernát Gábor <gaborjbernat@gmail.com>, layday <layday@protonmail.com>, Henry Schreiner <henryschreineriii@gmail.com>                                                                                                                                                                                                                                                                                                                                                                             | https://build.pypa.io                                                                                                           |
| cfgv                                     | 3.5.0           | MIT                                           | Anthony Sottile                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://github.com/asottile/cfgv                                                                                                |
| charset-normalizer                       | 3.4.4           | MIT                                           | "Ahmed R. TAHRI" <tahri.ahmed@proton.me>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md                                                            |
| httptools                                | 0.7.1           | MIT                                           | Yury Selivanov <yury@magic.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | https://github.com/MagicStack/httptools                                                                                         |
| identify                                 | 2.6.15          | MIT                                           | Chris Kuehl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | https://github.com/pre-commit/identify                                                                                          |
| iniconfig                                | 2.3.0           | MIT                                           | Ronny Pfannschmidt <opensource@ronnypfannschmidt.de>, Holger Krekel <holger.krekel@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                     | https://github.com/pytest-dev/iniconfig                                                                                         |
| jsonschema                               | 4.26.0          | MIT                                           | Julian Berman <Julian+jsonschema@GrayVines.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://github.com/python-jsonschema/jsonschema                                                                                 |
| jsonschema-specifications                | 2025.9.1        | MIT                                           | Julian Berman <Julian+jsonschema-specifications@GrayVines.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | https://github.com/python-jsonschema/jsonschema-specifications                                                                  |
| mypy_extensions                          | 1.1.0           | MIT                                           | The mypy developers <jukka.lehtosalo@iki.fi>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | https://github.com/python/mypy_extensions                                                                                       |
| platformdirs                             | 4.5.1           | MIT                                           | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | https://github.com/tox-dev/platformdirs                                                                                         |
| pydantic                                 | 2.12.5          | MIT                                           | Samuel Colvin <s@muelcolvin.com>, Eric Jolibois <em.jolibois@gmail.com>, Hasan Ramezani <hasan.r67@gmail.com>, Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Terrence Dorsey <terry@pydantic.dev>, David Montague <david@pydantic.dev>, Serge Matveenko <lig@countzero.co>, Marcelo Trylesinski <marcelotryle@gmail.com>, Sydney Runkle <sydneymarierunkle@gmail.com>, David Hewitt <mail@davidhewitt.io>, Alex Hall <alex.mojaki@gmail.com>, Victorien Plot <contact@vctrn.dev>, Douwe Maan <hi@douwe.me> | https://github.com/pydantic/pydantic                                                                                            |
| pydantic-settings                        | 2.4.0           | MIT                                           | Samuel Colvin <s@muelcolvin.com>, Eric Jolibois <em.jolibois@gmail.com>, Hasan Ramezani <hasan.r67@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                     | https://github.com/pydantic/pydantic-settings                                                                                   |
| pydantic_core                            | 2.41.5          | MIT                                           | Samuel Colvin <s@muelcolvin.com>, Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, David Montague <david@pydantic.dev>, David Hewitt <mail@davidhewitt.dev>, Sydney Runkle <sydneymarierunkle@gmail.com>, Victorien Plot <contact@vctrn.dev>                                                                                                                                                                                                                                                                  | https://github.com/pydantic/pydantic-core                                                                                       |
| referencing                              | 0.36.2          | MIT                                           | Julian Berman <Julian+referencing@GrayVines.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | https://github.com/python-jsonschema/referencing                                                                                |
| rpds-py                                  | 0.30.0          | MIT                                           | Julian Berman <Julian+rpds@GrayVines.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | https://github.com/crate-py/rpds                                                                                                |
| typing-inspection                        | 0.4.2           | MIT                                           | Victorien Plot <contact@vctrn.dev>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | https://github.com/pydantic/typing-inspection                                                                                   |
| urllib3                                  | 2.6.3           | MIT                                           | Andrey Petrov <andrey.petrov@shazow.net>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | https://github.com/urllib3/urllib3/blob/main/CHANGES.rst                                                                        |
| virtualenv                               | 20.36.1         | MIT                                           | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | https://github.com/pypa/virtualenv                                                                                              |
| wcmatch                                  | 8.5.2           | MIT                                           | Isaac Muse <Isaac.Muse@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | https://github.com/facelessuser/wcmatch                                                                                         |
| zipp                                     | 3.23.0          | MIT                                           | "Jason R. Coombs" <jaraco@jaraco.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/jaraco/zipp                                                                                                  |
| Deprecated                               | 1.3.1           | MIT License                                   | Laurent LAPORTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://github.com/laurent-laporte-pro/deprecated                                                                               |
| Mako                                     | 1.3.10          | MIT License                                   | Mike Bayer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | https://www.makotemplates.org/                                                                                                  |
| PyYAML                                   | 6.0.3           | MIT License                                   | Kirill Simonov                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | https://pyyaml.org/                                                                                                             |
| SQLAlchemy                               | 2.0.32          | MIT License                                   | Mike Bayer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | https://www.sqlalchemy.org                                                                                                      |
| alembic                                  | 1.13.2          | MIT License                                   | Mike Bayer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | https://alembic.sqlalchemy.org                                                                                                  |
| annotated-types                          | 0.7.0           | MIT License                                   | Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Samuel Colvin <s@muelcolvin.com>, Zac Hatfield-Dodds <zac@zhd.dev>                                                                                                                                                                                                                                                                                                                                                                                           | https://github.com/annotated-types/annotated-types                                                                              |
| exceptiongroup                           | 1.2.2           | MIT License                                   | Alex Grönholm <alex.gronholm@nextday.fi>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | https://github.com/agronholm/exceptiongroup/blob/main/CHANGES.rst                                                               |
| fastapi                                  | 0.112.0         | MIT License                                   | =?utf-8?q?Sebasti=C3=A1n_Ram=C3=ADrez?= <tiangolo@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | https://github.com/fastapi/fastapi                                                                                              |
| h11                                      | 0.16.0          | MIT License                                   | Nathaniel J. Smith                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | https://github.com/python-hyper/h11                                                                                             |
| markdown-it-py                           | 4.0.0           | MIT License                                   | Chris Sewell <chrisj_sewell@hotmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | https://github.com/executablebooks/markdown-it-py                                                                               |
| mdurl                                    | 0.1.2           | MIT License                                   | Taneli Hukkinen <hukkin@users.noreply.github.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | https://github.com/executablebooks/mdurl                                                                                        |
| mypy                                     | 1.13.0          | MIT License                                   | Jukka Lehtosalo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://www.mypy-lang.org/                                                                                                      |
| pluggy                                   | 1.6.0           | MIT License                                   | Holger Krekel <holger@merlinux.eu>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | UNKNOWN                                                                                                                         |
| pre_commit                               | 4.0.1           | MIT License                                   | Anthony Sottile                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://github.com/pre-commit/pre-commit                                                                                        |
| pyproject_hooks                          | 1.2.0           | MIT License                                   | Thomas Kluyver <thomas@kluyver.me.uk>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/pypa/pyproject-hooks                                                                                         |
| pytest                                   | 8.3.4           | MIT License                                   | Holger Krekel, Bruno Oliveira, Ronny Pfannschmidt, Floris Bruynooghe, Brianna Laugher, Florian Bruhin, Others (See AUTHORS)                                                                                                                                                                                                                                                                                                                                                                                                       | https://docs.pytest.org/en/latest/                                                                                              |
| pytest-cov                               | 6.0.0           | MIT License                                   | Marc Schlaich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | https://github.com/pytest-dev/pytest-cov                                                                                        |
| rfc3339-validator                        | 0.1.4           | MIT License                                   | Nicolas Aimetti                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://github.com/naimetti/rfc3339-validator                                                                                   |
| rich                                     | 13.5.3          | MIT License                                   | Will McGugan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | https://github.com/Textualize/rich                                                                                              |
| ruamel.yaml                              | 0.19.1          | MIT License                                   | Anthon van der Neut                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | https://sourceforge.net/p/ruamel-yaml/code/ci/default/tree/                                                                     |
| ruff                                     | 0.8.4           | MIT License                                   | Charlie Marsh <charlie.r.marsh@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | https://docs.astral.sh/ruff                                                                                                     |
| six                                      | 1.17.0          | MIT License                                   | Benjamin Peterson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | https://github.com/benjaminp/six                                                                                                |
| tomli                                    | 2.0.2           | MIT License                                   | Taneli Hukkinen <hukkin@users.noreply.github.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | https://github.com/hukkin/tomli                                                                                                 |
| vulture                                  | 2.14            | MIT License                                   | Jendrik Seipp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | https://github.com/jendrikseipp/vulture                                                                                         |
| watchfiles                               | 1.1.1           | MIT License                                   | Samuel Colvin <s@muelcolvin.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | https://github.com/samuelcolvin/watchfiles                                                                                      |
| structlog                                | 24.4.0          | MIT OR Apache-2.0                             | Hynek Schlawack <hs@ox.cx>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | https://github.com/hynek/structlog/blob/main/CHANGELOG.md                                                                       |
| hypothesis                               | 6.135.0         | MPL-2.0                                       | "David R. MacIver and Zac Hatfield-Dodds" <david@drmaciver.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://hypothesis.works                                                                                                        |
| certifi                                  | 2026.1.4        | Mozilla Public License 2.0 (MPL 2.0)          | Kenneth Reitz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | https://github.com/certifi/python-certifi                                                                                       |
| typing_extensions                        | 4.15.0          | PSF-2.0                                       | "Guido van Rossum, Jukka Lehtosalo, Łukasz Langa, Michael Lee" <levkivskyi@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/python/typing_extensions                                                                                     |
| defusedxml                               | 0.7.1           | Python Software Foundation License            | Christian Heimes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | https://github.com/tiran/defusedxml                                                                                             |
| distlib                                  | 0.4.0           | Python Software Foundation License            | Vinay Sajip                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | https://github.com/pypa/distlib                                                                                                 |
| peewee                                   | 3.19.0          | UNKNOWN                                       | Charles Leifer <coleifer@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | https://github.com/coleifer/peewee                                                                                              |
| filelock                                 | 3.20.3          | Unlicense                                     | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | https://github.com/tox-dev/py-filelock                                                                                          |
